Country Code;Country Name;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961
CMR;Cameroon;5,5;4,6;4,102106866;3,343429598;1,868461235;3,627197143;2,840053518;3,222146585;2,296654441;3,701854054;4,030993315;4,009044571;4,514271087;4,199996332;4,393810764;5,039252944;5,099998069;5,000004424;3,299996146;-2,500000928;-3,199997355;-3,100003211;-3,808599371;-6,105697646;-1,819120514;-7,823631974;-2,146650212;6,77166308;8,063161672;7,474572543;6,866830566;7,516202606;17,08268225;-1,965291668;6,035118773;22,00300492;13,73987152;-5,495138397;11,24505877;10,73426226;5,355680778;2,67384329;3,479707819;3,092068232;4,901479527;6,346323851;-10,91206559;4,614955617;2,026053717;3,547159694;3,742550319;3,041559056;1,183680812
COG;Congo, Rep.;3,440705249;3,799995852;3,420621271;8,751655799;7,46887803;5,572264177;-1,582222752;6,235997013;7,755758978;3,476631623;0,813264075;4,581870061;3,8026019;7,575980392;-2,582199359;3,737552769;-0,624812147;4,290481555;3,985324373;-5,493075736;-0,979683211;2,611948052;2,395367454;1,000003566;2,599876513;1,76626344;0,18937663;-6,861526427;-1,185660856;6,976131051;5,853962838;23,59769997;17,61972245;17,6366055;9,813224746;6,35974699;-8,95342797;0,916286735;7,731596849;7,885520809;8,231188946;8,617550834;7,753035879;6,35847016;7,54852521;7,631326245;2,116272053;1,358982467;3,676467752;3,816796258;-4,029300418;5,202308808;8,350726686
COL;Colombia;4,257140005;4,049025803;6,589511516;3,971800705;1,651549245;3,546804886;6,900627655;6,697515258;4,706555934;5,333022067;3,918271904;2,503980465;1,677898308;4,419993;-4,204015244;0,56978409;3,430293678;2,055854712;5,202437593;5,835811494;2,365650574;5,032677497;2,277231497;6,042038478;3,417426656;4,059821002;5,371506806;5,83829241;3,088264652;3,355101016;1,584376304;0,948480319;2,263216774;4,098199161;5,382853373;8,463449999;4,148013439;4,817187269;2,248047059;5,742522109;6,72748176;7,673414682;5,951223099;6,956515099;6,520935067;6,427444336;4,190635447;5,32236813;3,012487197;6,602341595;2,904114678;5,466500282;5,265372382
COM;Comoros;3,518193801;2,961140068;2,227203171;2,051229554;1,810218301;0,974927219;0,49099094;1,242150459;4,229885608;-0,239934108;2,474617737;4,149414597;3,329208572;1,417852661;1,924123666;1,282662443;4,030340682;-1,291668416;3,610129478;-5,276682038;3,005937478;8,530923433;-5,395598907;5,091392704;-3,180675333;2,687518695;1,637991109;1,867211828;2,280371848;4,110264301;4,821027945;6,383623358;3,864921187;;;;;;;;;;;;;;;;;;;;
CPV;Cabo Verde;0,499402175;1,236262722;3,968783812;1,466912709;-1,270403684;6,6505205;15,17068806;7,983750395;6,912457936;10,19707264;4,176259266;5,250891248;2,231654489;14,28486891;11,22264845;12,51728584;11,11842585;11,34652471;14,2116365;19,1826416;8,708311612;10,93764692;1,404147127;0,692171677;5,697949355;5,996855087;4,309063574;2,871455519;8,642086681;3,783270858;9,520749658;2,825029769;8,451562394;;;;;;;;;;;;;;;;;;;;
CRI;Costa Rica;3,497287451;5,133850711;4,510220598;4,954320527;-1,015718862;2,731620422;7,935340515;8,779640959;5,886377313;4,259452774;6,404510783;2,902185091;1,076396317;1,8008246;8,222200687;8,397847841;5,578186399;0,886582088;3,920889571;4,729601446;7,413680559;9,15201618;2,571919971;3,904917803;5,065672853;3,819392956;6,875439671;5,784949502;1,041412257;6,201703583;2,862992702;-7,285568847;-2,261655507;0,751895403;4,939123955;6,267686825;8,904474432;5,517564403;2,10007105;5,54489999;7,708915812;8,178045133;6,778505427;7,503134343;5,577729809;8,385017768;5,650125921;7,870708087;9,829617287;4,14905212;4,784711557;8,148320027;-0,955940459
CSA;South Asia (IFC classification);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CSS;Caribbean small states;;1,568161472;0,11101934;0,447464394;-3,754233579;1,865854857;3,583999135;8,696679897;4,585701637;4,995988196;7,038588481;4,593284501;2,176293191;4,154461646;4,616969109;5,393125972;3,568095718;3,743245296;3,112509546;3,419680617;-0,076075596;-1,404791976;0,192485559;0,383083723;3,518039121;1,284338413;-1,014322261;0,982672732;-0,405954292;0,995748244;-4,182101531;1,974032567;0,278951414;7,11164953;7,002610203;9,263497146;7,788202453;3,850842763;;;;;;;;;;;;;;;
CUB;Cuba;;;2,710339451;2,388246462;1,449116763;4,116828042;7,262136966;12,06580602;11,20171308;5,770878841;3,791364597;1,42859081;3,182230186;5,915865714;6,191203445;0,155720869;2,785004012;7,838750049;2,457201026;0,716930036;-14,8781804;-11,58060298;-10,6926974;-2,948564774;0,680083276;3,705539918;-2,402172725;0,095303565;1,596674541;7,929716566;5,411470669;8,918234752;19,68833449;-4,849443009;1,088183477;6,595998422;8,709502863;5,427960425;9,476426331;0,984491527;3,434488688;4,826686057;8,583858538;;;;;;;;;;
CUW;Curacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
